City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Yellowknife,62.456,-114.3525,-28.71,76,20,2.06,CA,1707099823
137,Saipan,15.1355,145.701,29.39,61,40,10.29,MP,1707099833
138,São Vicente,-23.9631,-46.3919,25.1,26,94,2.58,BR,1707099900
139,Nago,26.5881,127.9761,20.47,83,100,7.15,JP,1707100067
140,Catherinas Lust,6.4,-57.6,26.21,87,66,4.62,GY,1707100067
141,Mount Isa,-20.7333,139.5,35.87,41,68,8.75,AU,1707099861
142,Aş Şuwayrah,32.9256,44.7758,12.22,46,95,3.84,IQ,1707100068
143,Manado,1.487,124.8455,30.43,70,40,2.06,ID,1707100068
144,Tallulah,32.4085,-91.1868,12.03,82,100,1.54,US,1707100068
145,Howrah,22.5892,88.3103,19.0,88,20,2.57,IN,1707099856
146,Papatowai,-46.5619,169.4708,23.74,54,86,3.62,NZ,1707099827
147,Novodvinsk,64.4165,40.8122,-11.14,92,95,4.21,RU,1707100068
148,Whitehorse,60.7161,-135.0538,-22.57,59,75,1.03,CA,1707099831
149,Dryden,49.7833,-92.7503,1.16,100,100,1.03,CA,1707099875
150,Bel Ombre,-4.6167,55.4167,26.91,83,20,0.51,SC,1707100068
151,Anadyr,64.75,177.4833,-17.72,65,0,3.0,RU,1707099824
152,Grajaú,-5.8194,-46.1386,23.55,88,55,0.51,BR,1707100069
153,La Passe,45.5549,-0.8967,7.21,91,85,2.1,FR,1707099608
154,Cidreira,-30.1811,-50.2056,22.43,92,97,3.01,BR,1707099880
155,Khvānsār,33.2205,50.315,-7.74,58,3,2.39,IR,1707100069
156,Revda,56.801,59.9303,-9.87,94,100,3.92,RU,1707100069
157,Una,20.8167,71.0333,21.06,66,0,1.79,IN,1707100069
158,Rio Grande,-32.035,-52.0986,22.78,86,82,5.19,BR,1707099862
159,George Town,5.4112,100.3354,29.41,77,20,4.12,MY,1707099796
160,Tokat,40.4167,36.5833,-2.7,87,100,2.44,TR,1707100070
161,Beloyarskiy,63.7119,66.6722,-29.44,100,94,1.34,RU,1707100070
162,Afaahiti,-17.75,-149.2833,28.93,78,100,7.11,PF,1707099894
163,Bubaque,11.2833,-15.8333,26.08,70,0,2.83,GW,1707100070
164,West Bay,19.3667,-81.4167,27.25,87,20,5.14,KY,1707100070
165,Aasiaat,68.7098,-52.8699,-31.7,88,14,2.33,GL,1707099826
166,San Antonio de Palé,-1.4014,5.6325,27.61,78,56,1.98,GQ,1707099816
167,Lázaro Cárdenas,17.9583,-102.2,23.16,72,1,3.18,MX,1707099900
168,Klyuchi,52.2667,79.1667,-8.78,92,100,4.35,RU,1707099821
169,Cannonvale,-20.2833,148.7,29.66,58,94,3.73,AU,1707100071
170,Östersund,63.1792,14.6357,-6.88,93,78,6.69,SE,1707099786
171,Vadsø,70.0744,29.7487,-5.91,79,100,7.2,NO,1707099857
172,Forster,-32.1667,152.5167,32.99,65,98,7.12,AU,1707100071
173,Nishinoomote,30.7333,131.0,16.31,94,75,12.86,JP,1707100071
174,Mariehamn,60.0973,19.9348,-1.21,80,0,3.09,AX,1707100072
175,Tucumcari,35.1717,-103.725,7.19,75,0,3.6,US,1707100072
176,Badger,64.8,-147.5333,-17.38,68,100,0.0,US,1707099833
177,Sonqor,34.7837,47.6004,-3.93,99,88,2.18,IR,1707100072
178,Holualoa,19.6228,-155.9522,23.91,69,75,4.63,US,1707099878
179,Vinhais,41.8351,-7.005,8.0,82,100,1.12,PT,1707100072
180,Montehermoso,40.0437,-6.3389,6.03,86,100,0.9,ES,1707100072
181,Lata,40.1629,-8.3327,8.29,83,100,1.12,PT,1707099900
182,Vilyuchinsk,52.9306,158.4028,-5.85,65,100,2.09,RU,1707099843
183,Vorgashor,67.5833,63.95,-17.64,96,100,1.3,RU,1707099829
184,Polyarny,69.1989,33.4478,-12.47,89,33,5.31,RU,1707099852
185,Tura,25.5198,90.2201,16.11,39,100,1.01,IN,1707099836
186,Pionerskiy,54.9508,20.2275,6.19,87,100,13.83,RU,1707100073
187,Hermanus,-34.4187,19.2345,20.45,88,10,1.64,ZA,1707099842
188,Raduzhny,62.0961,77.475,-15.64,97,100,1.85,RU,1707100073
189,Tlanchinol,20.9833,-98.65,12.9,82,0,1.6,MX,1707100073
190,Arteche,12.2645,125.4048,28.1,73,23,4.56,PH,1707100073
191,Mangalore,12.8667,74.8833,23.48,94,7,1.03,IN,1707100074
192,Lihue,21.9789,-159.3672,26.58,61,100,8.23,US,1707099828
193,Merizo Village,13.2658,144.6691,29.31,73,33,10.21,GU,1707100074
194,Saint-Pierre,-21.3393,55.4781,21.82,64,0,3.09,RE,1707100074
195,Saint-Louis,16.3333,-15.0,22.31,11,0,4.8,SN,1707100074
196,Beberibe,-4.1797,-38.1306,27.57,80,7,6.17,BR,1707100074
197,Igarka,67.4667,86.5833,-15.18,95,100,5.62,RU,1707100074
198,Kalaoa,19.7286,-155.9817,23.11,67,75,4.63,US,1707100074
199,Licheng,23.2955,113.8284,15.64,76,100,3.03,CN,1707100075
200,San Luis de la Loma,17.2706,-100.8939,23.69,72,0,4.4,MX,1707099864
201,New Norfolk,-42.7826,147.0587,22.72,44,4,4.97,AU,1707099851
202,Sotik Post,-0.7813,35.3416,12.25,94,97,1.33,KE,1707100075
203,Emerald,-23.5333,148.1667,31.3,51,47,5.0,AU,1707100075
204,Wailua Homesteads,22.0669,-159.378,26.24,62,100,8.23,US,1707099857
205,Warrnambool,-38.3833,142.4833,18.41,61,56,5.66,AU,1707100075
206,Shāhāpur,19.45,73.3333,22.25,51,0,0.79,IN,1707100075
207,Ulan-Ude,51.8261,107.6098,-26.06,76,16,0.0,RU,1707100076
208,Balkashīno,52.5167,68.7667,-4.74,95,100,7.04,KZ,1707100076
209,Shiqian,27.5225,108.2281,0.19,91,100,1.21,CN,1707100076
210,Khovd,48.0056,91.6419,-20.32,91,82,0.81,MN,1707100076
211,Itacaré,-14.2775,-38.9967,24.81,87,55,1.59,BR,1707100076
212,Safi,32.1667,-8.8333,12.81,45,100,1.23,MA,1707100076
213,Prado,-17.3411,-39.2208,24.8,90,99,2.26,BR,1707100076
214,Preobrazheniye,42.9019,133.9064,-6.56,45,100,0.87,RU,1707100077
215,Katsuren-haebaru,26.3369,127.8719,20.43,85,100,7.2,JP,1707100077
216,Udachny,66.4167,112.4,-31.7,98,85,2.0,RU,1707099836
217,Muisne,0.6,-80.0333,26.16,87,89,1.11,EC,1707100077
218,Nantucket,41.2835,-70.0995,3.03,60,0,7.2,US,1707099867
219,Lezhë,41.7836,19.6436,0.18,76,55,1.4,AL,1707100077
220,Plettenberg Bay,-34.0527,23.3716,20.23,90,0,2.29,ZA,1707099917
221,Gizo Government Station,-8.103,156.8419,29.2,74,100,6.07,SB,1707100077
222,Mâncio Lima,-7.6142,-72.8958,23.57,98,99,1.27,BR,1707100078
223,Kalevala,65.2,31.1667,-8.84,93,100,4.92,RU,1707099832
224,Ataq,14.5377,46.8319,15.98,72,7,3.63,YE,1707100078
225,Kenai,60.5544,-151.2583,-9.95,85,100,2.06,US,1707100078
226,Ghadames,30.1337,9.5007,10.18,60,0,3.23,LY,1707099879
227,Summerside,46.3959,-63.7876,-1.29,100,100,15.43,CA,1707100078
228,Arraial do Cabo,-22.9661,-42.0278,25.16,90,100,7.14,BR,1707099897
229,Luorong,24.4058,109.6086,6.48,80,100,4.0,CN,1707100079
230,Alice Town,25.7167,-79.3,23.86,72,21,5.54,BS,1707100079
231,Yaring,6.8662,101.3689,26.29,75,65,1.49,TH,1707099836
232,Richards Bay,-28.783,32.0377,22.69,93,100,3.27,ZA,1707099721
233,Terrace,54.5163,-128.6035,-0.44,59,20,9.26,CA,1707099881
234,Vangaindrano,-23.35,47.6,22.94,92,100,3.02,MG,1707100079
235,Hawaiian Paradise Park,19.5933,-154.9731,22.73,77,75,1.54,US,1707099848
236,Whakatane,-37.9585,176.9854,26.6,67,0,2.68,NZ,1707100079
237,Conceição do Mato Dentro,-19.0372,-43.425,19.3,95,100,0.1,BR,1707100080
238,Port Moresby,-9.4431,147.1797,31.68,62,40,5.14,PG,1707099864
239,Ulladulla,-35.35,150.4667,24.41,79,100,2.23,AU,1707100080
240,Puerto Baquerizo Moreno,-0.9,-89.6,25.38,79,59,4.28,EC,1707100080
241,Vila Franca do Campo,37.7167,-25.4333,18.27,99,85,3.9,PT,1707099838
242,Mucuri,-18.0864,-39.5508,25.43,84,100,3.5,BR,1707100080
243,Enewetak,11.3474,162.3373,26.46,72,86,9.08,MH,1707099851
244,Berezovyy,51.6667,135.7,-14.01,65,5,1.21,RU,1707100080
245,Sitka,57.0531,-135.33,3.94,87,100,1.54,US,1707099865
246,Sisimiut,66.9395,-53.6735,-20.96,94,99,2.76,GL,1707099854
247,Opuwo,-18.0607,13.84,20.27,86,100,1.93,NA,1707100081
248,Fale old settlement,-9.3852,-171.2468,29.52,77,100,10.94,TK,1707099899
249,Pechora,65.1472,57.2244,-28.41,100,66,0.89,RU,1707100081
250,Ambodifotatra,-16.9833,49.85,26.5,80,98,3.71,MG,1707100081
251,Dunedin,-45.8742,170.5036,28.93,60,98,4.02,NZ,1707099841
252,Priargunsk,50.3691,119.1012,-24.46,91,100,0.71,RU,1707100082
253,Tamanghasset,22.785,5.5228,8.18,24,0,8.67,DZ,1707100082
254,Valparaíso,-33.0393,-71.6273,16.8,88,0,4.12,CL,1707100082
255,Pāsighāt,28.0667,95.3333,15.16,74,100,1.66,IN,1707100082
256,Horta,38.5333,-28.6333,17.23,95,100,8.05,PT,1707100082
257,Ketchikan,55.3422,-131.6461,4.99,87,0,3.09,US,1707099858
258,Varberg,57.1056,12.2508,5.03,88,100,12.83,SE,1707099903
259,Carutapera,-1.195,-46.02,26.08,88,38,3.14,BR,1707100083
260,Rāpar,23.5667,70.6333,20.12,82,0,3.82,IN,1707100083
